dates,gdp,p_elec,c_cement,m_ind_inp,cred_mn
2007-06-01,6.50203034145143,11.3464783612075,21.1054567730629,16.8923388877894,37.3029080493747
2007-07-01,10.3091374365128,11.9963672154359,25.0994100304438,28.0325701848571,38.914637797289
2007-08-01,9.3647839348103,9.45115763486545,14.1904469886452,30.5163306625699,39.0213817987208
2007-09-01,12.9223585501849,8.12565647097642,12.0455938673907,31.5256857109814,41.0708322720886
2007-10-01,11.8993941829425,9.52976002605683,21.5675867396749,11.428226667042,38.6337311215634
2007-11-01,9.82437916732973,9.1720038702154,14.6563536495821,5.46488832512373,38.8551023731268
2007-12-01,12.5093793181061,9.67995459858649,19.7729933148655,18.6502892955157,38.5549787279385
2008-01-01,9.51604461245895,9.02290778216005,21.0793777770041,31.8607559408373,40.9769301434647
2008-02-01,13.5432378002288,14.3033792447786,22.6269279104577,14.2180303782178,40.8559533766643
2008-03-01,7.61629374023358,8.07445591332711,12.9309258091075,13.1877209888051,40.1175222949523
2008-04-01,14.0844029880919,10.9209028585138,32.0308858275875,42.5290377871164,40.7592311993215
2008-05-01,7.00609374803973,7.63621636873807,15.0600666534504,19.1278803951378,41.9390777111675
2008-06-01,10.7900022961739,9.77553367191876,19.4105967338675,41.0367728069609,42.9002006234146
2008-07-01,9.5138367479848,7.13632172454836,18.1948392197741,22.1512720204288,42.9180623804557
2008-08-01,8.75006682196071,9.27765004487611,12.9326116962107,13.3318270791504,43.3644938370137
2008-09-01,10.4751356050106,10.8234655278354,22.9648721747337,25.243294157905,41.418306913035
2008-10-01,8.24416629137174,8.21962066568457,9.95210761742353,14.8823718627511,46.9432716165166
2008-11-01,6.30875092447609,4.60329051467751,7.5117426557099,5.60617274978467,47.6292516321473
2008-12-01,5.02446057766676,2.87972409460794,9.71094455992196,-9.45028489821097,46.9402356171994
2009-01-01,4.51249112490641,3.32974732346345,3.09002540013052,-23.1247882177399,45.9626106601883
2009-02-01,0.354672729697729,-1.67475406042635,4.38862084335129,-25.5341166124448,44.329258603321
2009-03-01,2.94433749918005,1.64098969534575,5.73139533784102,-15.456847839711,43.4589120270537
2009-04-01,-1.26529496748405,0.279162338846794,-2.66165032689217,-27.2511746759949,39.1113598611776
